Countyfp,Geoid,Station Id,Intptlat,Intptlon,Station Name,NAME (DECENNIALPL2020.P2-Data.csv),Name1,Namelsad,Tractce,Aland,Awater,F1,Geometry,Lat1,Long1,Total Population,Total Hispanic or Latino,Percentage Hispanic or Latino,Total Not Hispanic or Latino,Percentage Not Hispanic or Latino,Total White,Percentage White,Total Black,Percentage Black,Total American Indian,Percentage American Indian,Total Asian,Percentage Asian,Total Hawaiian,Percentage Hawaiian
25,25025070202,59,42.3500656,-71.0619598,Chinatown Gate Plaza - Surface Rd. at Beach St.,"Census Tract 702.02, Suffolk County, Massachusetts",702.02,Census Tract 702.02,70202,178542,0,56,Polygon,42.351356,-71.059367,5460,383,0.07014652,4923,0.901648352,1608,0.294505495,186,0.034065934,2,0.0003663,3107,0.569047619,4,0.000732601
25,25025070202,365,42.3500656,-71.0619598,Harrison Ave at Bennet St,"Census Tract 702.02, Suffolk County, Massachusetts",702.02,Census Tract 702.02,70202,178542,0,304,Polygon,42.3494261,-71.0620996,5460,383,0.07014652,4923,0.901648352,1608,0.294505495,186,0.034065934,2,0.0003663,3107,0.569047619,4,0.000732601
25,25025070202,302,42.3500656,-71.0619598,Harrison Ave at Bennet St (former),"Census Tract 702.02, Suffolk County, Massachusetts",702.02,Census Tract 702.02,70202,178542,0,262,Polygon,42.34931022,-71.062105,5460,383,0.07014652,4923,0.901648352,1608,0.294505495,186,0.034065934,2,0.0003663,3107,0.569047619,4,0.000732601
21,25021417201,317,42.2757627,-71.0348424,BCBS Quincy,"Census Tract 4172.01, Norfolk County, Massachusetts",4172.01,Census Tract 4172.01,417201,1521330,153189,295,Polygon,42.27600499,-71.03924982,4456,175,0.03927289,4167,0.935143627,1466,0.328994614,171,0.038375224,10,0.002244165,2504,0.561938959,0,0
17,25017341301,587,42.4222878,-71.0712551,Malden High School,"Census Tract 3413.01, Middlesex County, Massachusetts",3413.01,Census Tract 3413.01,341301,1089059,37804,522,Polygon,42.42653766,-71.06393695,4565,239,0.052354874,4093,0.8966046,1343,0.294194962,329,0.072070099,4,0.000876232,2317,0.507557503,0,0
17,25017341301,585,42.4222878,-71.0712551,Northern Strand at Main St,"Census Tract 3413.01, Middlesex County, Massachusetts",3413.01,Census Tract 3413.01,341301,1089059,37804,520,Polygon,42.42386,-71.067793,4565,239,0.052354874,4093,0.8966046,1343,0.294194962,329,0.072070099,4,0.000876232,2317,0.507557503,0,0
17,25017341301,584,42.4222878,-71.0712551,Malden Center T Station,"Census Tract 3413.01, Middlesex County, Massachusetts",3413.01,Census Tract 3413.01,341301,1089059,37804,519,Polygon,42.426541,-71.073179,4565,239,0.052354874,4093,0.8966046,1343,0.294194962,329,0.072070099,4,0.000876232,2317,0.507557503,0,0
17,25017353102,228,42.3601076,-71.0909495,One Memorial Drive,"Census Tract 3531.02, Middlesex County, Massachusetts",3531.02,Census Tract 3531.02,353102,983737,671689,200,Polygon,42.36161932,-71.08043551,6238,804,0.128887464,5171,0.828951587,2220,0.355883296,356,0.057069574,23,0.003687079,2500,0.400769477,0,0
17,25017353102,189,42.3601076,-71.0909495,Kendall T,"Census Tract 3531.02, Middlesex County, Massachusetts",3531.02,Census Tract 3531.02,353102,983737,671689,158,Polygon,42.36242784,-71.08495474,6238,804,0.128887464,5171,0.828951587,2220,0.355883296,356,0.057069574,23,0.003687079,2500,0.400769477,0,0
17,25017353102,179,42.3601076,-71.0909495,MIT Vassar St,"Census Tract 3531.02, Middlesex County, Massachusetts",3531.02,Census Tract 3531.02,353102,983737,671689,154,Polygon,42.35560121,-71.10394478,6238,804,0.128887464,5171,0.828951587,2220,0.355883296,356,0.057069574,23,0.003687079,2500,0.400769477,0,0
