id,Name,Lat,Long,Race
115,Porter Square Station,42.387995,-71.119084,White
96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,White
80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,Asian
95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,White
91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,White
68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,White
105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,White
88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,White
76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,White
118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,White
117,Binney St / Sixth St,42.366095,-71.086388,White
67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Asian
75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171066,White
36,Boston Public Library - 700 Boylston St.,42.349673,-71.077303,White
23,Mayor Martin J Walsh - 28 State St,42.35892,-71.057629,White
90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,White
116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,White
46,Christian Science Plaza,42.343864,-71.085918,White
141,Kendall Street,42.36356015842989,-71.08216792345047,White
110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,White
104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,White
73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,White
6,Cambridge St. at Joy St.,42.361174,-71.065142,White
140,Danehy Park,42.388966,-71.132788,White
107,Ames St at Main St,42.3625,-71.08822,Asian
74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,White
87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,White
89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,White
143,EF - North Point Park,42.369885,-71.069957,White
70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,White
97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,White
72,One Broadway / Kendall Sq at Main St / 3rd St,42.362613,-71.084105,White
84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,White
51,Washington St. at Lenox St.,42.3348756,-71.0790969,Hispanic or Latino
108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,White
142,Alewife Station at Russell Field,42.396105,-71.139459,White
38,TD Garden - Causeway at Portal Park #2,42.366222,-71.059914,White
85,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,White
145,Rindge Avenue - O'Neill Library,42.392766,-71.129042,White
149,Harvard University Transportation Services - 175 North Harvard St,42.363796,-71.129164,White
81,Boylston St / Washington St,42.352409,-71.062679,White
20,Aquarium Station - 200 Atlantic Ave.,42.35977,-71.051601,White
29,Innovation Lab - 125 Western Ave. at Batten Way,42.363732,-71.124565,White
16,Back Bay / South End Station,42.34807412317439,-71.07657015323639,White
109,TD Garden - Causeway at Portal Park #1,42.365942,-71.060515,White
4,Tremont St. at Berkeley St.,42.345392,-71.069616,White
32,Landmark Centre,42.343912,-71.102221,White
33,Kenmore Sq / Comm Ave,42.348706,-71.097009,White
21,Prudential Center / Belvidere,42.345959,-71.082578,White
42,Boylston St. at Arlington St.,42.352033,-71.070627,Hispanic or Latino
14,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,42.337171,-71.102797,White
98,Charlestown - Warren St at Chelsea St,42.371848,-71.060292,White
17,Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,42.365064,-71.119233,White
15,Harvard Real Estate - Brighton Mills - 370 Western Ave,42.361667,-71.13802,White
54,Tremont St / West St,42.354979,-71.063348,White
1,18 Dorrance Warehouse,42.387151,-71.075978,White
59,Chinatown Gate Plaza - Surface Rd. at Beach St.,42.351356,-71.059367,Asian
11,Longwood Ave / Binney St,42.338629,-71.1065,White
9,Agganis Arena - 925 Comm Ave.,42.351246,-71.115639,White
120,Charles St at Beacon St,42.356052,-71.069849,Hispanic or Latino
41,Packard's Corner - Comm. Ave. at Brighton Ave.,42.352261,-71.123831,White
10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,White
44,Faneuil Hall - Union St. at North St.,42.360613,-71.057452,White
58,The Esplanade - Beacon St. at Arlington St.,42.355596,-71.07278,White
99,Wilson Square,42.385582,-71.113341,White
60,Charles Circle - Charles St. at Cambridge St.,42.360835,-71.0708399,White
53,Beacon St / Mass Ave,42.350851,-71.089886,White
71,Conway Park - Somerville Avenue,42.383405,-71.107593,White
100,Davis Square,42.396969,-71.123024,White
55,Boylston / Mass Ave,42.347265,-71.088088,White
112,Somerville Hospital at Highland Ave / Crocker St,42.39082,-71.10942,White
66,Allston Green District - Commonwealth Ave & Griggs St,42.348607,-71.13401,White
86,Brookline Village - Pearl Street @ MBTA,42.332799,-71.116205,White
78,Union Square - Somerville,42.379637,-71.095319,White
122,BIDMC - Brookline at Burlington St,42.345733,-71.100694,White
22,South Station - 700 Atlantic Ave.,42.352175,-71.055547,White
40,Lewis Wharf - Atlantic Ave.,42.363871,-71.050877,White
114,Teele Square at 239 Holland St,42.402763,-71.126908,White
125,Hyde Square at Barbara St,42.320998,-71.110833,White
123,JP Center - Centre Street at Myrtle Street,42.313156,-71.11414,White
39,Washington St. at Rutland St.,42.338623,-71.074182,White
19,Buswell St. at Park Dr.,42.347241,-71.105301,White
45,Yawkey Way at Boylston St.,42.344706,-71.097515,White
48,Post Office Square,42.356755,-71.055407,White
43,Rowes Wharf - Atlantic Ave,42.357143,-71.050699,White
24,Seaport Square - Seaport Blvd. at Boston Wharf,42.351205,-71.043983,White
57,Columbus Ave. at Mass. Ave.,42.340799,-71.081572,White
7,Fan Pier,42.35328743453294,-71.04438900947571,White
129,Hayes Square at Vine St.,42.377022,-71.056605,White
64,Congress / Sleeper,42.3511,-71.0496,White
135,ID Building East,42.344827,-71.028664,Hispanic or Latino
150,State Street at Channel Center,42.344137,-71.052608,White
121,West Broadway at Dorchester St,42.335693,-71.045859,White
13,Boston Medical Center -  East Concord at Harrison Ave,42.336437,-71.073089,White
49,Stuart St. at Charles St.,42.351146,-71.066289,White
12,Ruggles Station / Columbus Ave.,42.335911,-71.088496,White
77,Somerville City Hall,42.386844,-71.09812,White
151,John F Fitzgerald - Surface Road at India Street,42.358155,-71.052163,White
65,Boston Convention & Exhibition Center,42.3475,-71.0441,White
47,Cross St. at Hanover St.,42.362811,-71.056067,White
119,South Boston Library - 646 East Broadway,42.335741,-71.03877,White
8,Union Square - Brighton Ave. at Cambridge St.,42.353334,-71.137313,White
37,New Balance - 20 Guest St.,42.357402,-71.147782,White
27,Roxbury Crossing Station,42.331184,-71.095171,Black
93,JFK / UMASS at MBTA Station,42.320494,-71.051122,White
3,Colleges of the Fenway,42.340021,-71.100812,White
26,Washington St. at Waltham St.,42.341522,-71.068922,White
131,Jackson Square T at Centre St,42.322701,-71.099533,Hispanic or Latino
133,Green St T,42.310579,-71.107341,White
111,Packard Ave / Powderhouse Blvd,42.40449,-71.123413,White
102,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,White
136,ID Building West,42.344796,-71.031614,Hispanic or Latino
152,Ink Block,42.345901,-71.063187,White
25,Tremont St / W Newton St,42.341332,-71.076847,White
30,Brigham Cir / Huntington Ave,42.334073,-71.105221,White
124,Curtis Hall at South Street,42.309054,-71.11543,White
5,Northeastern U / North Parking Lot,42.341814,-71.090179,White
94,Charlestown - Main St at Austin St,42.375603,-71.064608,White
130,Upham's Corner - Ramsey St at Dudley St,42.317225,-71.065421,Black
31,Seaport Hotel,42.348833,-71.041747,White
63,Dorchester Ave. at Gillette Park,42.344023,-71.057054,White
139,Dana Park,42.361589,-71.107437,White
138,Mass Ave at Newmarket Square,42.326599,-71.066498,Black
106,Mt Pleasant Ave / Dudley Town Common,42.325333,-71.075354,Black
